Timestamp,Number of people
2018-07-16T00:02:43.298553Z,20
2018-07-16T00:12:56.013898Z,20
2018-07-16T00:23:03.483721Z,20
2018-07-16T00:33:10.643653Z,20
2018-07-16T00:43:17.548752Z,20
2018-07-16T00:53:24.163308Z,20
2018-07-16T01:03:31.475696Z,20
2018-07-16T01:13:44.725636Z,20
2018-07-16T01:23:51.555562Z,20
2018-07-16T01:33:58.462195Z,20
2018-07-16T01:44:07.002703Z,20
2018-07-16T01:54:14.641649Z,20
2018-07-16T02:04:21.637457Z,20
2018-07-16T02:14:31.629808Z,20
2018-07-16T02:24:38.266652Z,20
2018-07-16T02:34:44.871632Z,20
2018-07-16T02:44:51.692775Z,20
2018-07-16T02:54:58.277996Z,20
2018-07-16T03:05:05.279894Z,20
2018-07-16T03:15:16.668864Z,20
2018-07-16T03:25:23.296041Z,20
2018-07-16T03:35:30.067779Z,20
2018-07-16T03:45:36.584031Z,20
2018-07-16T03:55:43.124848Z,20
2018-07-16T04:05:49.442556Z,20
2018-07-16T04:15:59.418219Z,20
2018-07-16T04:26:18.544115Z,20
2018-07-16T04:36:25.430178Z,20
2018-07-16T04:46:37.724982Z,23
2018-07-16T04:56:44.157660Z,34
2018-07-16T05:06:50.675875Z,36
2018-07-16T05:17:00.898801Z,33
